mon data pour n=1					
	rho	F(rho)		rho	G(rho)
	0.021372	0.058317		1.588376	16.547996
	0.02149	0.058645		1.58979	16.581615
	0.021568	0.058864		1.592069	16.637011
	0.021686	0.059193		1.593365	16.66872
	0.021764	0.059412		1.594701	16.700542
	0.021882	0.059741		1.596901	16.754086
	0.022	0.06007		1.59808	16.783065
	0.022079	0.060289		1.599298	16.812656
	0.022197	0.060618		1.601694	16.870876
	0.022275	0.060837		1.60299	16.903263
	0.022393	0.061166		1.604287	16.934681
	0.022472	0.061386		1.60688	16.997988
	0.02259	0.061715		1.608294	17.033153
	0.022668	0.061934		1.609669	17.066429
	0.022786	0.062264		1.612066	17.125319
	0.022865	0.062483		1.613401	17.158491
	0.022982	0.062813		1.61458	17.18766
	0.022982	0.062813		1.615798	17.217109
	0.0231	0.063142		1.616976	17.246526
	0.023179	0.063362		1.619176	17.301231
	0.023297	0.063692		1.620473	17.332867
	0.023375	0.063912		1.621887	17.367697
	0.023493	0.064242		1.623301	17.4031
	0.023572	0.064461		1.624676	17.436926
	0.02369	0.064791		1.627073	17.496793
	0.023768	0.065011		1.628369	17.529225
	0.023886	0.065342		1.629666	17.561181
	0.023965	0.065562		1.632101	17.621795
	0.024082	0.065892		1.633398	17.654403
	0.0242	0.066222		1.634576	17.684217
	0.024279	0.066442		1.635794	17.71449
	0.024397	0.066773		1.636973	17.743854
	0.024475	0.066993		1.639291	17.801739
	0.024672	0.067544		1.640469	17.831744
	0.02479	0.067875		1.641884	17.866986
	0.024868	0.068095		1.643377	17.904727
	0.025064	0.068646		1.644673	17.937206
	0.025064	0.068648		1.647069	17.998029
	0.025182	0.068979		1.648484	18.033347
	0.0253	0.069311		1.649702	18.064078
	0.0253	0.069311		1.652177	18.126269
	0.025379	0.069531		1.653395	18.157482
	0.025497	0.069862		1.654691	18.190491
	0.025693	0.070414		1.65587	18.220458
	0.025772	0.070635		1.657087	18.251433
	0.025968	0.071188		1.659366	18.309254
	0.026086	0.071519		1.660584	18.340347
	0.026164	0.07174		1.661998	18.376178
	0.026282	0.072072		1.663491	18.413838
	0.0264	0.072404		1.664787	18.447568
